End User Guid,Task ID,Task Name,Task Completion Date
springer@company1.com,10262,How is Actual Rent calculated?,10/7/15 21:53
vendorhelp@company2.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
ramsey@company2.com,9021,How to Navigate Rentlytics,10/8/15 0:32
thompson@company2.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
mitts@company2.com,10262,How is Actual Rent calculated?,10/8/15 0:38
gordon@company2.com,9018,How to Adjust Property Groups,10/8/15 0:41
trilogy@company2.com,10262,How is Actual Rent calculated?,10/8/15 21:27
ludwig@company2.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
sycamore@company2.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
giambanco@company2.com,9021,How to Navigate Rentlytics,10/7/15 22:18
ferrer@company2.com,8467,How to Find Help,10/7/15 22:18
sines@company2.com,10262,How is Actual Rent calculated?,10/7/15 22:19
lucas@company2.com,10262,How is Actual Rent calculated?,10/7/15 21:53
salinas@company2.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
martinez@company3.com,9021,How to Navigate Rentlytics,10/8/15 0:32
swartz@company3.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
marshall@company3.com,10262,How is Actual Rent calculated?,10/8/15 0:38
dora@company3.com,9018,How to Adjust Property Groups,10/8/15 0:41
epoch@company4.com,10262,How is Actual Rent calculated?,10/8/15 21:27
wenzel@company5.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
vannelli@company9.com,10260,Where does Rentlytics' data come from?,10/7/15 22:16
investor@company9.com,9021,How to Navigate Rentlytics,10/7/15 22:18
teufel@company11.com,8467,How to Find Help,10/7/15 22:18
sanchez@company17.com,10262,How is Actual Rent calculated?,10/7/15 22:19
demo@company30.com,10262,How is Actual Rent calculated?,10/7/15 21:53
dominguez@company30.com,10260,Where does Rentlytics' data come from?,10/8/15 0:30
ipa@company33.com,9021,How to Navigate Rentlytics,10/8/15 0:32
soffin@company33.com,10260,Where does Rentlytics' data come from?,10/8/15 0:37
marshall@company36.com,10262,How is Actual Rent calculated?,10/8/15 0:38
martinez@company39.com,9018,How to Adjust Property Groups,10/8/15 0:41
sycamore@company39.com,10262,How is Actual Rent calculated?,10/8/15 21:27
tsourounis@company39.com,10260,Where does Rentlytics' data come from?,10/7/15 21:55
